ip,lat,lng,org,cc
137.132.250.9,1.29758,103.773,National University of Singapore,SG
104.72.104.114,42.3649,-71.0889,"Akamai Technologies, Inc.",US
202.12.27.33,35.3882,139.428,WIDE,JP
137.132.208.204,1.29758,103.773,National University of Singapore,SG
155.69.150.18,1.34712,103.68,Nanyang Technological University,SG
74.125.200.94,37.422,-122.084,Google LLC,US
119.81.26.218,1.35208,103.82,SoftLayer Dutch Holdings B.V,SG
172.217.26.78,3.15062,101.67,Google LLC,MY
74.125.10.23,1.35208,103.82,Google LLC,SG
193.62.193.9,52.1932,0.1426,European Bioinformatics Institute,GB
150.65.7.130,35.6906,139.77,Japan150,JP
199.59.148.229,37.7768,-122.416,Twitter Inc.,US
137.132.32.247,1.29758,103.773,National University of Singapore,SG
192.122.131.14,1.29961,103.788,A*STAR,SG
173.194.22.203,37.422,-122.084,Google LLC,US
104.44.201.152,47.6423,-122.137,Microsoft Corporation,US
140.110.122.99,24.7826,120.996,,TW
155.69.196.194,1.34712,103.68,Nanyang Technological University,SG
155.69.192.193,1.34712,103.68,Nanyang Technological University,SG
130.246.176.135,51.567,-1.78472,Science Technology Facilities Council,GB
203.30.39.13,1.29548,103.859,Singaren GIX,SG
74.125.200.100,1.2762,103.8,Google LLC,SG
31.13.78.17,-36.8506,174.7679,Meta Platforms Ireland Limited,NZ
202.83.105.146,1.30306,103.908,Viewqwest Pte Ltd,SG
137.132.221.90,1.29758,103.773,National University of Singapore,SG
155.69.203.113,1.34712,103.68,Nanyang Technological University,SG
203.80.16.132,2.8244,101.6841,Myren Infra,MY
193.49.97.157,43.6047,1.44421,Meteo-France / CNRM,FR
40.100.16.2,3.139,101.6868,Microsoft Corporation,MY
138.246.2.202,48.1722,11.5534,,DE
155.69.213.27,1.34712,103.68,Nanyang Technological University,SG
202.6.241.24,1.38755,103.844,A-STAR,SG
133.5.26.111,33.6184,130.4109,Kyushu University,JP
203.30.39.11,1.29548,103.859,Singaren GIX,SG
14.139.239.194,30.3275,78.0325,Indian Institute of Remote Sensing,IN
155.69.17.79,1.34712,103.68,Nanyang Technological University,SG
155.230.21.203,35.8723,128.5924,,KR
74.125.200.132,1.2762,103.8,Google LLC,SG
74.125.130.188,36.0164,-86.5615,Google LLC,US
59.191.192.73,3.139,101.687,Monash University,MY
202.120.224.114,40.0018,116.333,,CN
131.253.61.100,47.6423,-122.137,Microsoft Corp,US
128.240.225.117,54.9836,-1.5895,University of Newcastle upon Tyne,GB
74.125.200.127,37.422,-122.084,Google LLC,US
134.160.228.4,35.6837,139.6805,,JP
130.14.250.11,38.9886,-77.0241,National Library of Medicine,US
193.62.193.8,52.1932,0.1426,European Bioinformatics Institute,GB
155.69.196.106,1.34712,103.68,Nanyang Technological University,SG
172.217.24.110,1.35208,103.82,Google LLC,SG
172.217.27.10,22.3193,114.169,Google LLC,HK
155.69.194.99,1.34712,103.68,Nanyang Technological University,SG
202.158.207.20,-35.2298,149.106,Australian Academic and Research Network,AU
61.252.52.21,37.5576,126.9937,Koren,KR
155.69.18.187,1.34712,103.68,Nanyang Technological University,SG
74.125.10.39,37.422,-122.084,Google LLC,US
123.136.64.33,1.33317,103.736,A Star,SG
193.146.75.128,43.4611,-3.8021,Instituto de Fisica de Cantabria,ES
202.21.159.190,1.43801,103.789,Rpnet,SG
103.37.196.23,1.29873,103.787,A*STAR,SG
140.115.32.81,24.9614,121.2437,,TW
220.156.176.9,1.3032,103.793,"ComIT, Institute of Molecular and Cell Biology",SG
